arch,num_qubits,scale,compilation_time,depth,swap
heavy-hex,5,1,0.7804961204528809,34,6
heavy-hex,10,2,0.44644999504089355,105,39
heavy-hex,15,3,1.2660596370697021,238,107
heavy-hex,20,4,3.3625688552856445,385,303
heavy-hex,25,5,6.589570999145508,520,453
heavy-hex,30,6,11.137024879455566,595,560
heavy-hex,35,7,19.062023162841797,645,691
heavy-hex,40,8,27.994933128356934,858,958
heavy-hex,45,9,46.16595911979675,1090,1285
heavy-hex,50,10,60.536572217941284,1442,2008
heavy-hex,55,11,90.75549530982971,2139,2757
heavy-hex,60,12,124.85856580734253,2234,3985
heavy-hex,65,13,159.56597876548767,1697,3417
heavy-hex,70,14,226.85035514831543,1914,4444
heavy-hex,75,15,292.9324848651886,2948,6664
heavy-hex,80,16,405.12410593032837,3739,10405
heavy-hex,85,17,680.7527561187744,4703,10597
heavy-hex,90,18,765.0081191062927,3754,8733
heavy-hex,95,19,951.1808640956879,5827,12553
heavy-hex,100,20,1436.3252680301666,4371,11534
heavy-hex,105,21,2308.394481897354,4611,15819
