num_qubits,scale,depth,swap
16,4,65.0,72.0
36,6,162.0,360.0
64,8,299.0,1120.0
100,10,476.0,2700.0
144,12,693.0,5544.0
196,14,950.0,10192.0
256,16,1247.0,17280.0
324,18,1584.0,27540.0
400,20,1961.0,41800.0
484,22,2378.0,60984.0
576,24,2835.0,86112.0
676,26,3332.0,118300.0
784,28,3869.0,158760.0
900,30,4446.0,208800.0
1024,32,5063.0,269824.0
