arch,num_qubits,scale,compilation_time,depth,swap
heavy-hex,5,1,0.7804961204528809,34,6
heavy-hex,10,2,0.44644999504089355,105,39
heavy-hex,15,3,1.2660596370697021,238,107
heavy-hex,20,4,3.3625688552856445,385,303
heavy-hex,25,5,6.589570999145508,520,453
heavy-hex,30,6,11.137024879455566,595,560
heavy-hex,35,7,19.062023162841797,645,691
heavy-hex,40,8,27.994933128356934,858,958
heavy-hex,45,9,46.16595911979675,1090,1285
heavy-hex,50,10,60.536572217941284,1442,2008
